City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,wainwright,52.839,-110.8572,-6.16,76,100,3.02,CA,-21600
293,malango,-2.9627,119.9001,27.26,40,5,2.17,ID,28800
294,noosa heads,-26.3833,153.15,25.74,66,82,8.33,AU,36000
295,lamu,-2.2717,40.902,26.04,83,75,4.21,KE,10800
296,new yekepa,7.5794,-8.5378,21.23,96,97,0.88,LR,0
297,flin flon,54.7682,-101.865,-3.76,54,14,1.99,CA,-18000
298,paita,-5.0892,-81.1144,19.24,90,99,7.18,PE,-18000
299,fisterra,42.9049,-9.2629,15.97,70,9,13.33,ES,7200
300,antigonish,45.6169,-61.9986,11.64,92,100,1.08,CA,-10800
301,karagandy,49.8019,73.1021,-6.03,63,5,3.09,KZ,21600
302,benalla,-36.55,145.9833,17.39,42,0,1.43,AU,39600
303,kalabo,-14.97,22.6814,23.81,40,74,2.08,ZM,7200
304,bardsir,29.9227,56.5743,13.04,57,100,2.61,IR,12600
305,medicine hat,50.0501,-110.6683,-6.76,81,100,3.6,CA,-21600
306,holualoa,19.6228,-155.9522,27.65,74,20,4.12,US,-36000
307,photharam,13.6923,99.8497,26.31,83,90,1.4,TH,25200
308,vila franca do campo,37.7167,-25.4333,17.16,99,99,2.88,PT,0
309,karachi,24.9056,67.0822,24.9,88,98,2.57,PK,18000
310,xiangxiang,27.7333,112.5333,18.23,91,100,3.01,CN,28800
311,badulla,6.9895,81.0557,21.03,86,43,0.89,LK,19800
312,valdivia,-39.8142,-73.2459,12.05,100,51,1.02,CL,-10800
313,aleksandrovsk,59.158,57.5624,-6.26,92,87,2.9,RU,18000
314,iskateley,67.6803,53.1512,-11.66,100,43,1.79,RU,10800
315,zaozersk,69.4005,32.4476,-4.48,95,100,2.57,RU,10800
316,czarnkow,52.9021,16.5641,8.34,92,100,1.63,PL,7200
317,lucapa,-8.4192,20.7447,17.85,98,100,1.52,AO,3600
318,mar del plata,-38.0023,-57.5575,20.01,42,0,4.12,AR,-10800
319,aykhal,66.0,111.5,-16.44,100,100,1.22,RU,32400
320,isiro,2.7739,27.616,20.03,99,100,0.77,CD,7200
321,kulhudhuffushi,6.6221,73.07,28.3,75,73,4.19,MV,18000
322,colesberg,-30.72,25.0972,21.12,16,33,2.05,ZA,7200
323,praia da vitoria,38.7333,-27.0667,16.53,88,20,4.04,PT,0
324,gwanda,-20.9333,29.0,19.04,70,0,2.48,ZW,7200
325,cha grande,-8.2383,-35.4617,20.59,89,11,1.53,BR,-10800
326,winburg,-28.518,27.0093,18.03,24,49,3.89,ZA,7200
327,champerico,14.3,-91.9167,26.3,86,100,2.63,GT,-21600
328,al hadd,26.2456,50.6542,28.36,54,0,4.12,BH,10800
329,ancud,-41.8697,-73.8203,10.66,85,100,8.2,CL,-10800
330,fale old settlement,-9.3852,-171.2468,28.57,77,47,6.61,TK,46800
331,aurad,18.25,77.4333,17.62,64,93,1.14,IN,19800
332,chernyshevskiy,63.0128,112.4714,-7.45,99,100,1.36,RU,32400
333,nizhneangarsk,55.7833,109.55,1.67,92,100,2.24,RU,28800
334,ghanzi,-21.5667,21.7833,25.0,35,1,5.03,BW,7200
335,bay roberts,47.5999,-53.2648,9.73,89,75,1.07,CA,-9000
336,brak,27.5496,14.2714,24.26,27,0,3.52,LY,7200
337,corumba,-19.0092,-57.6533,27.3,63,100,1.04,BR,-14400
338,shimoda,34.6667,138.95,21.17,55,0,3.63,JP,32400
339,ocean city,39.2776,-74.5746,17.77,90,92,1.34,US,-14400
340,whitehorse,60.7161,-135.0538,-2.57,74,75,3.09,CA,-25200
341,labytnangi,66.6572,66.4183,-9.85,87,100,2.55,RU,18000
342,quellon,-43.1167,-73.6167,9.58,79,100,4.39,CL,-10800
343,kirensk,57.7853,108.1119,1.65,96,100,4.92,RU,28800
344,stanley,54.868,-1.6985,9.18,94,75,3.09,GB,3600
345,marsa alam,25.0757,34.8918,26.92,54,0,1.2,EG,7200
346,saint-joseph,-21.3667,55.6167,22.21,86,24,2.18,RE,14400
347,miasskoye,55.2784,61.8905,-6.19,80,6,4.98,RU,18000
348,paso de los libres,-29.7131,-57.0899,19.02,77,0,3.09,AR,-10800
349,sault ste. marie,46.5168,-84.3333,14.31,100,100,2.06,CA,-14400
350,nagqu,31.5,92.0,-5.0,88,38,0.79,CN,28800
351,ust-nera,64.5667,143.2,-16.48,85,100,1.16,RU,36000
352,smirnykh,49.75,142.8333,7.86,63,100,2.72,RU,39600
353,andrews,32.3187,-102.5457,21.97,42,0,3.09,US,-18000
354,le moule,16.3332,-61.3473,26.77,100,100,5.52,GP,-14400
